"Tree"	"Family"	"Genus"	"Species"	"Htrunc"	"Htot"	"DBH"	"Db"	"Dm"	"Dh"	"Wleaves"	"Wbranches"	"Wtrunc"	"AGB"	"Site"	"Worker"
"G7"	"Malvaceae"	"Grewia"	"Grewia sp."	2.21	6.1	7.63943726841098	9.00816977900128	8.75352187005424	7.25746540499043	"NA"	15.64	12.61	28.25	"Fort-Dauphin-Dry"	"Sarobidy"
"G8"	"Malvaceae"	"Grewia"	"Grewia sp."	2.15	5.4	5.57042300821634	7.86225418873963	5.88873289440013	6.20704278058392	"NA"	12.85	6.61	19.46	"Fort-Dauphin-Dry"	"Sarobidy"
"G9"	"Malvaceae"	"Grewia"	"Grewia sp."	3.55	6.1	6.8436625529515	9.54929658551372	7.06647947328015	5.88873289440013	"NA"	10.78	12.62	23.4	"Fort-Dauphin-Dry"	"Sarobidy"
"Grew1"	"Tililaceae"	"Grewia"	"Grewia aprima"	3.5	6.5	8.5	"NA"	"NA"	"NA"	27.5	15.5	19.5	62.5	"Ivohibe"	"Zafyson"
"Grew2"	"Tililaceae"	"Grewia"	"Grewia aprima"	5	8	7	"NA"	"NA"	"NA"	5	3.5	11	19.5	"Ivohibe"	"Zafyson"
"Grew3"	"Tililaceae"	"Grewia"	"Grewia aprima"	5.25	8.5	7	"NA"	"NA"	"NA"	3.5	2.5	12	18	"Ivohibe"	"Zafyson"
"E1"	"Hernandiaceae"	"Gyrocarpus"	"Gyrocarpus americanus"	2.9	4.2	5.66591597407147	8.27605704077856	5.15662015617741	2.80112699841736	"NA"	1.32	5.19	6.51	"Fort-Dauphin-Dry"	"Sarobidy"
"E2"	"Hernandiaceae"	"Gyrocarpus"	"Gyrocarpus americanus"	2.5	4.7	4.1061975317709	4.99746521308551	4.07436654315252	3.81971863420549	"NA"	2.62	3.53	6.15	"Fort-Dauphin-Dry"	"Sarobidy"
"E3"	"Hernandiaceae"	"Gyrocarpus"	"Gyrocarpus americanus"	1.25	3.4	3.18309886183791	3.97887357729738	3.24676083907466	3.02394391874601	"NA"	1.45	1.06	2.51	"Fort-Dauphin-Dry"	"Sarobidy"
"E4"	"Hernandiaceae"	"Gyrocarpus"	"Gyrocarpus americanus"	2.35	5.6	9.86760647169751	11.8729587546554	10.1859163578813	8.91267681314614	"NA"	16.75	13.25	30	"Fort-Dauphin-Dry"	"Sarobidy"
"E5"	"Hernandiaceae"	"Gyrocarpus"	"Gyrocarpus americanus"	3.8	6.1	6.93915551880664	8.72169088143586	6.20704278058392	4.52000038380983	"NA"	7.38	12.37	19.75	"Fort-Dauphin-Dry"	"Sarobidy"
"E6"	"Hernandiaceae"	"Gyrocarpus"	"Gyrocarpus americanus"	2.73	4.9	6.62084563262285	11.0771840391959	6.65267662124123	6.52535266676771	"NA"	3.64	10.08	13.72	"Fort-Dauphin-Dry"	"Sarobidy"
"E7"	"Hernandiaceae"	"Gyrocarpus"	"Gyrocarpus americanus"	4.7	7.7	15.0560576164933	17.1887338539247	9.04000076761965	6.8436625529515	"NA"	38.5	48.53	87.03	"Fort-Dauphin-Dry"	"Sarobidy"
"E8"	"Hernandiaceae"	"Gyrocarpus"	"Gyrocarpus americanus"	3.5	7	13.8464800489949	17.7616916490555	12.5732405042597	10.3769022895916	"NA"	30.5	41.5	72	"Fort-Dauphin-Dry"	"Sarobidy"
"E9"	"Hernandiaceae"	"Gyrocarpus"	"Gyrocarpus americanus"	2.9	5.6	10.1859163578813	14.0056349920868	10.663381187157	6.52535266676771	"NA"	10.02	21	31.02	"Fort-Dauphin-Dry"	"Sarobidy"
"Haru1"	"Clusiaceae"	"Harungana"	"Harungana madagascariensis"	5	7	8	"NA"	"NA"	"NA"	5	2.5	17.5	25	"Ivohibe"	"Zafyson"
"Haru2"	"Clusiaceae"	"Harungana"	"Harungana madagascariensis"	5.5	9.5	7.5	"NA"	"NA"	"NA"	7	5	20	32	"Ivohibe"	"Zafyson"
"Haru3"	"Clusiaceae"	"Harungana"	"Harungana madagascariensis"	5	8.5	8.5	"NA"	"NA"	"NA"	13.5	11	24	48.5	"Ivohibe"	"Zafyson"
"Haru4"	"Clusiaceae"	"Harungana"	"Harungana madagascariensis"	4.5	8.2	16.5	"NA"	"NA"	"NA"	32	41.5	55	128.5	"Ivohibe"	"Zafyson"
"Haru5"	"Clusiaceae"	"Harungana"	"Harungana madagascariensis"	3.5	9	16.5	"NA"	"NA"	"NA"	30	35	37	102	"Ivohibe"	"Zafyson"
"Haru6"	"Clusiaceae"	"Harungana"	"Harungana madagascariensis"	2.5	9	16	"NA"	"NA"	"NA"	41	72	34	147	"Ivohibe"	"Zafyson"
"Haru7"	"Clusiaceae"	"Harungana"	"Harungana madagascariensis"	6	12	25	"NA"	"NA"	"NA"	64	126	124.5	314.5	"Ivohibe"	"Zafyson"
"Haru8"	"Clusiaceae"	"Harungana"	"Harungana madagascariensis"	10	16.5	34	"NA"	"NA"	"NA"	119	433.5	472.5	1025	"Ivohibe"	"Zafyson"
"Haru9"	"Clusiaceae"	"Harungana"	"Harungana madagascariensis"	12.5	20.5	36	"NA"	"NA"	"NA"	149	458	830.5	1437.5	"Ivohibe"	"Zafyson"
"Hom1"	"Salicaceae"	"Homalium"	"Homalium sp1"	5.6	9	7.5	"NA"	"NA"	"NA"	8	10.5	20	38.5	"Ivohibe"	"Zafyson"
"Hom2"	"Salicaceae"	"Homalium"	"Homalium sp2"	6.5	9.5	7	"NA"	"NA"	"NA"	6	4	23	33	"Ivohibe"	"Zafyson"
"Hom3"	"Salicaceae"	"Homalium"	"Homalium sp2"	7.5	10	6.5	"NA"	"NA"	"NA"	3	6	16.5	25.5	"Ivohibe"	"Zafyson"
"Hom4"	"Salicaceae"	"Homalium"	"Homalium sp2"	3	10.5	16.5	"NA"	"NA"	"NA"	76.5	157	68	301.5	"Ivohibe"	"Zafyson"
