Tree	Locality	Latin_Binomial	Family	Trunk_diameter_cm	Total_height_m	Dry_weight_branch_kg	Dry_weight_trunk_kg	Dry_weight_leaf_kg	Dry_total_AGB_kg	Wood_specific_gravity	Forest_type
106	Fort-Dauphin-Dry	Securinega capironii	Euphorbiaceae	3.18309886183791	3.36	1.70592759605815	1.41180214846192	NA	3.11772974452007	0.771857610803648	dry
107	Fort-Dauphin-Dry	Securinega capironii	Euphorbiaceae	3.18309886183791	4.4	0.590577384797628	2.01610900327466	NA	2.60668638807229	0.790040256619521	dry
108	Fort-Dauphin-Dry	Securinega capironii	Euphorbiaceae	3.91521160006063	3.8	1.95728673797507	1.62154777197205	NA	3.57883450994712	0.772770987097345	dry
109	Fort-Dauphin-Dry	Securinega capironii	Euphorbiaceae	4.13802852038928	4.37	2.83429251149204	2.75093096703639	NA	5.58522347852844	0.791307714641066	dry
110	Fort-Dauphin-Dry	Securinega capironii	Euphorbiaceae	5.41126806512444	4.37	6.46799469998059	4.41098406751196	NA	10.8789787674926	0.82054450685496	dry
111	Fort-Dauphin-Dry	Securinega capironii	Euphorbiaceae	6.11154981472878	4.9	6.05431561106663	5.60280732820743	NA	11.6571229392741	0.769704501930294	dry
112	Fort-Dauphin-Dry	Securinega capironii	Euphorbiaceae	7.63943726841098	5.04	13.3330749796445	5.59248422757309	NA	18.9255592072175	0.811853044041293	dry
113	Fort-Dauphin-Dry	Securinega capironii	Euphorbiaceae	8.43521198387045	6.65	18.3357686029547	16.5461975873063	NA	34.881966190261	0.861079388488379	dry
114	Fort-Dauphin-Dry	Securinega capironii	Euphorbiaceae	10.1222543806445	6.05	24.5427241622975	17.4289972483897	NA	41.9717214106872	0.845784088224111	dry
115	Fort-Dauphin-Dry	Strychnos decussata	Loganiaceae	4.16985950900766	3.75	4.05701494749574	3.14540438467937	NA	7.20241933217511	0.879141387017869	dry
116	Fort-Dauphin-Dry	Strychnos decussata	Loganiaceae	6.55718365538609	4.7	6.76711276996775	5.83371790514461	NA	12.6008306751124	0.783914754366483	dry
117	Fort-Dauphin-Dry	Strychnos madagascariensis	Loganiaceae	3.3422538049298	3.9	0.602913740428516	1.3550020145713	NA	1.95791575499982	0.661542523874962	dry
118	Fort-Dauphin-Dry	Strychnos madagascariensis	Loganiaceae	3.81971863420549	5.7	2.11126631221324	1.82222390042214	NA	3.93349021263538	0.648339930349317	dry
119	Fort-Dauphin-Dry	Strychnos madagascariensis	Loganiaceae	3.81971863420549	4.9	2.16100763585908	2.59885885619654	NA	4.75986649205562	0.703387927501257	dry
120	Fort-Dauphin-Dry	Strychnos madagascariensis	Loganiaceae	4.45633840657307	5.25	2.49616184320257	2.61166547604999	NA	5.10782731925256	0.678642244672338	dry
121	Fort-Dauphin-Dry	Strychnos madagascariensis	Loganiaceae	4.58366236104659	4.95	2.78322996042281	3.98820481387645	NA	6.77143477429927	0.679718617448186	dry
122	Fort-Dauphin-Dry	Strychnos madagascariensis	Loganiaceae	5.57042300821634	4.7	2.6648621321632	4.9166706338411	NA	7.5815327660043	0.704238727313868	dry
123	Fort-Dauphin-Dry	Strychnos madagascariensis	Loganiaceae	9.39014164242183	6.1	21.4670121004566	15.4681632850338	NA	36.9351753854904	0.829283113818578	dry
124	Fort-Dauphin-Dry	Terminalia disjuncta	Combretaceae	5.57042300821634	4.22	7.46289159612138	4.19957263454467	NA	11.6624642306661	0.786792159328429	dry
125	Fort-Dauphin-Dry	Terminalia disjuncta	Combretaceae	7.63943726841098	4.43	33.7231027854295	7.48790527154027	NA	41.2110080569698	0.731667503359781	dry
126	Fort-Dauphin-Dry	Terminalia disjuncta	Combretaceae	8.33971901801532	5.8	18.926816620079	8.28573972034569	NA	27.2125563404247	0.723962138155136	dry
127	Fort-Dauphin-Dry	Terminalia mantaly	Combretaceae	3.81971863420549	3.24	2.81256425528154	1.90090549667304	NA	4.71346975195459	0.698849720870382	dry
128	Fort-Dauphin-Dry	Terminalia mantaly	Combretaceae	4.13802852038928	4.64	1.98745724773492	3.17330673888342	NA	5.16076398661834	0.721577538758774	dry
129	Fort-Dauphin-Dry	Terminalia mantaly	Combretaceae	7.16197243913529	6.1	10.2809899644938	10.3546448179708	NA	20.6356347824647	0.662992140013271	dry
130	Fort-Dauphin-Dry	Terminalia mantaly	Combretaceae	7.32112738222719	6.28	14.3378420091228	11.7170178651297	NA	26.0548598742525	0.68006365115894	dry
131	Fort-Dauphin-Dry	Terminalia mantaly	Combretaceae	10.0267614147894	8.8	20.7967414440237	20.146843273898	NA	40.9435847179217	0.670446171470597	dry
132	Fort-Dauphin-Dry	Terminalia mantaly	Combretaceae	13.0507053335354	9.5	40.3749342889311	40.7215002484927	NA	81.0964345374238	0.733414198176471	dry
